from,to,weight,relationship,medium,book chapter,film section
Oin,Dori,3,4,1,,
Oin,Gloin,3,4,1,,
Oin,Balin,3,4,1,,
Oin,Dwalin,3,4,1,,
Oin,Bombur,3,4,1,,
Oin,Gollum,1,5,1,,
Gloin,Bilbo,3,1,1,,
Gloin,Thorin,3,4,1,,
Gloin,Bifur,3,4,1,,
Gloin,Bofur,3,4,1,,
Gloin,Fili,3,4,1,,
Gloin,Kili,3,4,1,,
Gloin,Dori,3,4,1,,
Gloin,Nori,3,4,1,,
Gloin,Gandalf,3,2,1,,
Gloin,Ori,3,4,1,,
Gloin,Oin,3,4,1,,
Gloin,Balin,3,4,1,,
Gloin,Dwalin,3,4,1,,
Gloin,Bombur,3,4,1,,
Gloin,Gollum,1,5,1,,
Balin,Bilbo,3,1,1,,
Balin,Thorin,3,4,1,,
Balin,Bifur,3,4,1,,
Balin,Bofur,3,4,1,,
Balin,Fili,3,4,1,,
Balin,Kili,3,4,1,,
Balin,Dori,3,4,1,,
Balin,Nori,3,4,1,,
Balin,Ori,3,4,1,,
Balin,Oin,3,4,1,,
Balin,Gloin,3,4,1,,
Balin,Gandalf,3,2,1,,
Balin,Dwalin,3,4,1,,
Balin,Bombur,3,4,1,,
Balin,Gollum,1,5,1,,
Dwalin,Bilbo,3,1,1,,
Dwalin,Thorin,3,4,1,,
Dwalin,Bifur,3,4,1,,
Dwalin,Bofur,3,4,1,,
Dwalin,Fili,3,4,1,,
Dwalin,Kili,3,4,1,,
Dwalin,Gandalf,3,2,1,,
Dwalin,Nori,3,4,1,,
Dwalin,Ori,3,4,1,,
Dwalin,Oin,3,4,1,,
Dwalin,Gloin,3,4,1,,
Dwalin,Balin,3,4,1,,
Dwalin,Nori,3,4,1,,
Dwalin,Bombur,3,4,1,,
Dwalin,Gollum,1,5,1,,
Bombur,Bilbo,3,1,1,,
Bombur,Thorin,3,4,1,,
Bombur,Bifur,3,4,1,,
Bombur,Bofur,3,4,1,,
Bombur,Fili,3,4,1,,
Bombur,Kili,3,4,1,,
Bombur,Gandalf,3,2,1,,
Bombur,Nori,3,4,1,,
Bombur,Ori,3,4,1,,
Bombur,Oin,3,4,1,,
Bombur,Gloin,3,4,1,,
Bombur,Balin,3,4,1,,
Bombur,Nori,3,4,1,,
Bombur,Dori,3,4,1,,
Bombur,Gollum,1,5,1,,
Gollum,Bilbo,2,3,1,,
Gollum,Thorin,1,5,1,,
Gollum,Bifur,1,5,1,,
Gollum,Bofur,1,5,1,,
Gollum,Fili,1,5,1,,
Gollum,Kili,1,5,1,,
Gollum,Gandalf,1,5,1,,
Gollum,Nori,1,5,1,,
Gollum,Ori,1,5,1,,
Gollum,Oin,1,5,1,,
Gollum,Gloin,1,5,1,,
Gollum,Balin,1,5,1,,
Gollum,Nori,1,5,1,,
Gollum,Bombur,1,5,1,,
Gollum,Dori,1,5,1,,
